[5] RAGE Multiplayer 1.1 (2062618) started at 08-06-2025 22:01:29
OS: Windows 10 Pro (26100)
CPU: Intel(R) Core(TM) i9-14900K
[1702] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.io.filesystem.dll
[1705] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.runtime.serialization.formatters.dll
[1708] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.dll
[1709] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.core.dll
[1711] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.console.dll
[1713] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.private.uri.dll
[1714] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\microsoft.csharp.dll
[1718] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.linq.expressions.dll
[1718] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.dynamic.runtime.dll
[1721] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.drawing.primitives.dll
[1722] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.text.regularexpressions.dll
[1724] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.diagnostics.stacktrace.dll
[1728] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\messagepack.dll
[1729] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\messagepack.annotations.dll
[1733] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.runtime.interopservices.dll
[1733] Loading DLL: c:\windows\system32\driverstore\filerepository\nv_dispi.inf_amd64_2c61c4d89b199ea8\nvgpucomp64.dll
[1753] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.threading.dll
[1772] Loading DLL: shcore.dll
[1772] Loading DLL: user32.dll
[1772] Loading DLL: c:\windows\system32\nvapi64.dll
[1780] Loading DLL: setupapi.dll
[1780] Loading DLL: user32.dll
[1883] Loading DLL: d3d10_1.dll
[2103] Loading DLL: api-ms-win-core-string-l1-1-0
[2103] Loading DLL: api-ms-win-core-datetime-l1-1-1
[2103] Loading DLL: api-ms-win-core-localization-obsolete-l1-2-0
[2107] Loading DLL: c:\windows\system32\driverstore\filerepository\nv_dispi.inf_amd64_2c61c4d89b199ea8\display.nvcontainer\nvmessagebus.dll
[2117] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.memory.dll
[2175] Loading DLL: c:\windows\system32\driverstore\filerepository\nv_dispi.inf_amd64_2c61c4d89b199ea8\nvcamera\nvcamera64.dll
[2179] Loading DLL: api-ms-win-core-winrt-roparameterizediid-l1-1-0.dll
[2241] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.security.cryptography.algorithms.dll
[2288] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.security.cryptography.primitives.dll
[2291] Loading DLL: c:\windows\system32\driverstore\filerepository\nv_dispi.inf_amd64_2c61c4d89b199ea8\nvmemmapstoragex.dll
[2294] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.collections.concurrent.dll
[2353] Loading DLL: c:\windows\system32\driverstore\filerepository\nv_dispi.inf_amd64_2c61c4d89b199ea8\nvwgf2umx.dll
[2424] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.text.encoding.extensions.dll
[2884] Loading DLL: shell32.dll
[2885] Loading DLL: c:\windows\system32\nvspcap64.dll
[2915] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.runtime.compilerservices.unsafe.dll
[2971] Loading DLL: c:\windows\system32\driverstore\filerepository\nv_dispi.inf_amd64_2c61c4d89b199ea8\display.nvcontainer/nvmessagebus.dll
[3001] Loading DLL: c:\windows\system32\wbem\wbemprox.dll
[3030] Loading DLL: api-ms-win-core-localregistry-l1-1-0.dll
[3037] Loading DLL: c:\windows\system32\wbem\wbemsvc.dll
[3052] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.resources.resourcemanager.dll
[3376] Loading DLL: api-ms-win-core-localization-l1-2-0.dll
[3376] Loading DLL: api-ms-win-core-localization-obsolete-l1-1-0.dll
[3377] Loading DLL: c:\windows\system32\wbem\fastprox.dll
[3379] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.threading.tasks.parallel.dll
[3465] Loading DLL: amsi.dll
[3471] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.globalization.dll
[3521] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\kernel32.dll
[3536] Loading DLL: kernel32.dll
[3537] Loading DLL: c:\programdata\microsoft\windows defender\platform\4.18.25040.2-0\mpoav.dll
[3537] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.threading.tasks.dll
[3567] Loading DLL: c:\windows\system32\version.dll
[3568] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.diagnostics.tracing.dll
[4089] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\combase.dll
[4090] Loading DLL: combase.dll
[4090] Loading DLL: c:\windows\system32\combase.dll
[4139] Loading DLL: c:\windows\system32\iconcodecservice.dll
[4270] Loading DLL: c:\windows\system32\oleacc.dll
[4288] Loading DLL: oleaut32.dll
[4546] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.buffers.dll
[4794] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.xml.xdocument.dll
[4807] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.private.xml.linq.dll
[4819] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.private.xml.dll
[4861] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\microsoft.diasymreader.native.amd64.dll
[5370] Loading DLL: rpcrt4.dll
[5399] Loading DLL: c:\windows\system32\driverstore\filerepository\nv_dispi.inf_amd64_2c61c4d89b199ea8\nvppex.dll
[5462] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.reflection.primitives.dll
[5590] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\ole32.dll
[5590] Loading DLL: ole32.dll
[5601] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.runtime.serialization.primitives.dll
[5604] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.runtime.numerics.dll
[5619] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.diagnostics.tracesource.dll
[5623] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.componentmodel.typeconverter.dll
[5642] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.objectmodel.dll
[5648] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.data.common.dll
[5655] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.xml.readerwriter.dll
[5658] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.componentmodel.dll
[5705] Loading DLL: c:\windows\system32\cryptnet.dll
[5716] Loading DLL: c:\windows\system32\driverstore\filerepository\nv_dispi.inf_amd64_2c61c4d89b199ea8\nvcamera\d3dcompiler_47_64.dll
[5827] Loading DLL: nvapi64.dll
[5832] Loading DLL: c:\windows\system32\driverstore\filerepository\nv_dispi.inf_amd64_2c61c4d89b199ea8\nvcuda64.dll
[6025] Loading DLL: c:\windows\system32\driverstore\filerepository\nv_dispi.inf_amd64_2c61c4d89b199ea8\nvdxgdmal64.dll
[6425] Loading DLL: c:\windows\system32\applicationtargetedfeaturedatabase.dll
[6439] Loading DLL: c:\windows\system32\twinapi.appcore.dll
[6467] Loading DLL: c:\windows\system32\wintypes.dll
[6631] Loading DLL: hid.dll
[6631] Loading DLL: setupapi.dll
[6632] Loading DLL: winmm.dll
[6632] Loading DLL: user32.dll
[6633] Loading DLL: user32.dll
[6634] Loading DLL: devobj.dll
[6636] Loading DLL: api-ms-win-core-registry-l1-1-0.dll
[6637] Loading DLL: wintrust.dll
[6912] Loading DLL: c:\windows\system32\mmdevapi.dll
[6946] Loading DLL: c:\windows\system32\xaudio2_7.dll
[6985] Loading DLL: audioses.dll
[7018] Loading DLL: mmdevapi.dll
[7178] Loading DLL: c:\windows\system32\windows.ui.dll
[7200] Loading DLL: avrt.dll
[7201] Loading DLL: dsound.dll
[8307] Loading DLL: c:\program files\rockstar games\social club\socialclub.dll
[8414] Loading DLL: c:\program files\rockstar games\social club\chrome_elf.dll
[8464] Loading DLL: advapi32.dll
[8465] Loading DLL: c:\program files\rockstar games\social club\libcef.dll
[8657] Loading DLL: ext-ms-win-rtcore-ntuser-integration-l1-1-0.dll
[11981] Loading DLL: imm32.dll
[12156] Loading DLL: winmm.dll
[12159] Loading DLL: wdmaud.drv
[12243] Loading DLL: msacm32.drv
[12262] Loading DLL: midimap.dll
[12404] Loading DLL: c:\windows\system32\dinput8.dll
[12443] Loading DLL: c:\windows\system32\dinput8.dll
[12451] Loading DLL: c:\windows\system32\windowscodecs.dll
[12459] Loading DLL: windowscodecsext.dll
[12476] Loading DLL: c:\windows\system32\msxml6.dll
[12512] Loading DLL: windowscodecs.dll
[12525] Loading DLL: bcrypt.dll
[12571] Loading DLL: c:\program files\nvidia corporation\nvidia app\messagebus\messagebus.dll
[12624] Loading DLL: c:\windows\system32\firewallapi.dll
[12759] Loading DLL: api-ms-win-core-sysinfo-l1-2-1
[12875] Loading DLL: c:\windows\system32\netprofm.dll
[12893] Loading DLL: c:\windows\system32\npmproxy.dll
[13302] Loading DLL: dinput8
[13302] Loading DLL: dinput8.dll
[14397] Loading DLL: api-ms-win-downlevel-shell32-l1-1-0.dll
[14449] Loading DLL: c:\windows\system32\msctf.dll
[14450] Loading DLL: c:\windows\system32\msctf.dll
[14462] Loading DLL: cfgmgr32.dll
[14463] Loading DLL: shcore.dll
[14463] Loading DLL: mscms.dll
[14466] Loading DLL: e:\github\gang-gpt-gta-v\cef\d3dcompiler_47.dll
[14469] Loading DLL: mdmregistration.dll
[14517] Loading DLL: e:\github\gang-gpt-gta-v\cef\libglesv2.dll
[14517] Loading DLL: e:\github\gang-gpt-gta-v\cef\libegl.dll
[14517] Loading DLL: dwmapi.dll
[14517] Loading DLL: e:\github\gang-gpt-gta-v\cef\libglesv2.dll
[14518] Loading DLL: dcomp.dll
[14625] Loading DLL: c:\windows\system32\netapi32.dll
[14660] Loading DLL: kernelbase
[14772] Loading DLL: mfplat.dll
[14790] Loading DLL: c:\windows\system32\windows.media.dll
[14791] Loading DLL: c:\windows\system32\\windows.staterepositoryps.dll
[14845] Loading DLL: c:\windows\system32\windows.applicationmodel.dll
[14859] Loading DLL: c:\windows\system32\wintypes.dll
[14921] Loading DLL: api-ms-win-security-base-l1-1-0.dll
[15412] Loading DLL: powrprof.dll
[25207] Loading DLL: c:\windows\system32\driverstore\filerepository\nv_dispi.inf_amd64_2c61c4d89b199ea8\nvencmfth264x.dll
[25250] Loading DLL: c:\windows\system32\driverstore\filerepository\nv_dispi.inf_amd64_2c61c4d89b199ea8\nvencodeapi64.dll
[31198] Loading DLL: ntdll.dll
[71254] Loading DLL: wevtapi.dll
[311137] Loading DLL: dbghelp.dll
[311138] Loading DLL: c:\windows\system32\symsrv.dll
[311418] SE EXCEPTION_ACCESS_VIOLATION (0xc0000005) at address 0x00000266DC60C2A4 (0x266dc60c2a4) thread 109888 inside E:\GitHub\gang-gpt-gta-v\GTA5.exe loaded at base address 0x0000000000000000
Invalid operation: read at address 0x7ffea1fc4000

0x266DC60C2A4 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x7FFEA1FC4000 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0xB2C12FE548 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x266DC68EF5B at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x266DDD67DC0 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x7FFEA1FC4000 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x3C000 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x7FFEA1FC4000 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x1 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x7FFEA1FC4000 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x7FFEA1F80000 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0xB2C12FE548 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0xB2C12FE550 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x7FFEA1FC4000 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x7FFEA1F80000 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x3C00000000001 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x200000000000 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x2000000000000 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x7FFE00000000 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x2B2BECF04602 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000
0x2B2BECF04602 at E:\GitHub\gang-gpt-gta-v\GTA5.exe 0x0000000000000000


[487332] Loading DLL: sechost.dll
[503488] Loading DLL: setupapi.dll
